correction_id,parent_impulse_id,direction,start_event_id,end_event_id,start_time,start_price,end_time,end_price,available_at_time,status,structural_status,confirmed_at,rejected_at,reason,is_open,correction_duration,parent_duration,time_ratio,merged_into_parent_id,rejection_or_acceptance_reason
SFC0001,SFI0001,down,E00010,E00018,2017-09-02T00:00:00+00:00,4939.19,2017-09-14T00:00:00+00:00,3165.13,2017-09-14T23:59:59.999000+00:00,accepted,correction_accepted,2017-09-12T00:00:00+00:00,,fib_deadline_reached_without_new_parent_extreme,False,12.0,10.0,1.2,,fib_deadline_reached_without_new_parent_extreme
SFC0002,SFI0002,up,E00012,E00013,2017-09-05T00:00:00+00:00,3603.0,2017-09-07T00:00:00+00:00,4788.59,2017-09-14T23:59:59.999000+00:00,rejected,correction_rejected,,2017-09-14T00:00:00+00:00,new_parent_extreme_before_fib_deadline,False,2.0,3.0,0.66666667,SFI0002,new_parent_extreme_before_fib_deadline
SFC0003,SFI0002,down,E00013,E00018,2017-09-07T00:00:00+00:00,4788.59,2017-09-14T00:00:00+00:00,3165.13,2017-11-10T23:59:59.999000+00:00,accepted,correction_accepted,2017-09-17T00:00:00+00:00,,fib_deadline_reached_without_new_parent_extreme,False,7.0,2.0,3.5,,fib_deadline_reached_without_new_parent_extreme
SFC0004,SFI0003,up,E00018,E00038,2017-09-14T00:00:00+00:00,3165.13,2017-11-08T00:00:00+00:00,7770.02,2017-11-10T23:59:59.999000+00:00,rejected,correction_rejected,,2017-09-15T00:00:00+00:00,new_parent_extreme_before_fib_deadline,False,55.0,7.0,7.85714286,SFI0003,new_parent_extreme_before_fib_deadline
SFC0005,SFI0003,down,E00038,E00041,2017-11-08T00:00:00+00:00,7770.02,2017-11-12T00:00:00+00:00,5325.01,2017-11-29T23:59:59.999000+00:00,rejected,correction_rejected,,2017-11-16T00:00:00+00:00,new_parent_extreme_before_fib_deadline,False,4.0,55.0,0.07272727,SFI0003,new_parent_extreme_before_fib_deadline
SFC0006,SFI0003,up,E00041,E00052,2017-11-12T00:00:00+00:00,5325.01,2017-11-29T00:00:00+00:00,11300.03,2017-11-29T23:59:59.999000+00:00,accepted,correction_accepted,2017-11-22T00:00:00+00:00,,fib_deadline_reached_without_new_parent_extreme,False,17.0,4.0,4.25,,fib_deadline_reached_without_new_parent_extreme
SFC0007,SFI0004,down,E00052,E00054,2017-11-29T00:00:00+00:00,11300.03,2017-11-30T00:00:00+00:00,8850.8,2017-12-07T23:59:59.999000+00:00,rejected,correction_rejected,,2017-12-03T00:00:00+00:00,new_parent_extreme_before_fib_deadline,False,1.0,17.0,0.05882353,SFI0004,new_parent_extreme_before_fib_deadline
SFC0008,SFI0004,up,E00054,E00059,2017-11-30T00:00:00+00:00,8850.8,2017-12-07T00:00:00+00:00,16649.96,2017-12-10T23:59:59.999000+00:00,accepted,correction_accepted,2017-12-10T00:00:00+00:00,,fib_deadline_reached_without_new_parent_extreme,False,7.0,1.0,7.0,,fib_deadline_reached_without_new_parent_extreme
SFC0009,SFI0005,down,E00059,E00065,2017-12-07T00:00:00+00:00,16649.96,2017-12-10T00:00:00+00:00,12368.0,2017-12-10T23:59:59.999000+00:00,rejected,correction_rejected,,2017-12-08T00:00:00+00:00,new_parent_extreme_before_fib_deadline,False,3.0,7.0,0.42857143,SFI0005,new_parent_extreme_before_fib_deadline
SFC0010,SFI0005,up,E00065,E00070,2017-12-10T00:00:00+00:00,12368.0,2017-12-17T00:00:00+00:00,19798.68,2017-12-25T23:59:59.999000+00:00,accepted,correction_accepted,2017-12-20T00:00:00+00:00,,fib_deadline_reached_without_new_parent_extreme,False,7.0,3.0,2.33333333,,fib_deadline_reached_without_new_parent_extreme
SFC0011,SFI0006,down,E00070,E00077,2017-12-17T00:00:00+00:00,19798.68,2017-12-24T00:00:00+00:00,11640.0,2017-12-28T23:59:59.999000+00:00,accepted,correction_accepted,2017-12-27T00:00:00+00:00,,fib_deadline_reached_without_new_parent_extreme,False,7.0,7.0,1.0,,fib_deadline_reached_without_new_parent_extreme
SFC0012,SFI0007,up,E00077,E00078,2017-12-24T00:00:00+00:00,11640.0,2017-12-27T00:00:00+00:00,16498.05,2018-01-02T23:59:59.999000+00:00,accepted,correction_accepted,2018-01-03T00:00:00+00:00,,fib_deadline_reached_without_new_parent_extreme,False,3.0,7.0,0.42857143,,fib_deadline_reached_without_new_parent_extreme
SFC0013,SFI0008,down,E00078,E00081,2017-12-27T00:00:00+00:00,16498.05,2017-12-30T00:00:00+00:00,11750.0,2018-01-08T23:59:59.999000+00:00,rejected,correction_rejected,,2018-01-05T00:00:00+00:00,new_parent_extreme_before_fib_deadline,False,3.0,3.0,1.0,SFI0008,new_parent_extreme_before_fib_deadline
SFC0014,SFI0008,up,E00081,E00086,2017-12-30T00:00:00+00:00,11750.0,2018-01-05T00:00:00+00:00,17176.24,2018-01-17T23:59:59.999000+00:00,accepted,correction_accepted,2018-01-09T00:00:00+00:00,,fib_deadline_reached_without_new_parent_extreme,False,6.0,3.0,2.0,,fib_deadline_reached_without_new_parent_extreme
SFC0015,SFI0009,down,E00086,E00093,2018-01-05T00:00:00+00:00,17176.24,2018-01-17T00:00:00+00:00,9037.94,2018-01-17T23:59:59.999000+00:00,accepted,correction_accepted,2018-01-15T00:00:00+00:00,,fib_deadline_reached_without_new_parent_extreme,False,12.0,1.0,12.0,,fib_deadline_reached_without_new_parent_extreme
SFC0016,SFI0010,up,E00093,E00094,2018-01-17T00:00:00+00:00,9037.94,2018-01-20T00:00:00+00:00,13099.0,2018-01-30T23:59:59.999000+00:00,accepted,correction_accepted,2018-01-27T00:00:00+00:00,,fib_deadline_reached_without_new_parent_extreme,False,3.0,12.0,0.25,,fib_deadline_reached_without_new_parent_extreme
SFC0017,SFI0011,down,E00094,E00103,2018-01-20T00:00:00+00:00,13099.0,2018-02-05T00:00:00+00:00,6625.0,2018-02-05T23:59:59.999000+00:00,accepted,correction_accepted,2018-01-30T00:00:00+00:00,,fib_deadline_reached_without_new_parent_extreme,False,16.0,3.0,5.33333333,,fib_deadline_reached_without_new_parent_extreme
SFC0018,SFI0012,up,E00096,E00097,2018-01-23T00:00:00+00:00,9905.0,2018-01-28T00:00:00+00:00,12244.0,2018-02-05T23:59:59.999000+00:00,rejected,correction_rejected,,2018-01-30T00:00:00+00:00,new_parent_extreme_before_fib_deadline,False,5.0,3.0,1.66666667,SFI0012,new_parent_extreme_before_fib_deadline
SFC0019,SFI0012,down,E00097,E00103,2018-01-28T00:00:00+00:00,12244.0,2018-02-05T00:00:00+00:00,6625.0,2018-02-22T23:59:59.999000+00:00,accepted,correction_accepted,2018-02-07T00:00:00+00:00,,fib_deadline_reached_without_new_parent_extreme,False,8.0,5.0,1.6,,fib_deadline_reached_without_new_parent_extreme
SFC0020,SFI0013,up,E00103,E00107,2018-02-05T00:00:00+00:00,6625.0,2018-02-20T00:00:00+00:00,11786.01,2018-02-22T23:59:59.999000+00:00,rejected,correction_rejected,,2018-02-06T00:00:00+00:00,new_parent_extreme_before_fib_deadline,False,15.0,8.0,1.875,SFI0013,new_parent_extreme_before_fib_deadline
SFC0021,SFI0013,down,E00107,E00111,2018-02-20T00:00:00+00:00,11786.01,2018-02-25T00:00:00+00:00,9274.8,2018-03-07T23:59:59.999000+00:00,accepted,correction_accepted,2018-03-02T00:00:00+00:00,,fib_deadline_reached_without_new_parent_extreme,False,5.0,15.0,0.33333333,,fib_deadline_reached_without_new_parent_extreme
SFC0022,SFI0014,up,E00111,E00112,2018-02-25T00:00:00+00:00,9274.8,2018-03-05T00:00:00+00:00,11710.0,2018-03-20T23:59:59.999000+00:00,accepted,correction_accepted,2018-03-07T00:00:00+00:00,,fib_deadline_reached_without_new_parent_extreme,False,8.0,5.0,1.6,,fib_deadline_reached_without_new_parent_extreme
SFC0023,SFI0015,down,E00112,E00118,2018-03-05T00:00:00+00:00,11710.0,2018-03-18T00:00:00+00:00,7322.0,2018-03-20T23:59:59.999000+00:00,accepted,correction_accepted,2018-03-15T00:00:00+00:00,,fib_deadline_reached_without_new_parent_extreme,False,13.0,8.0,1.625,,fib_deadline_reached_without_new_parent_extreme
SFC0024,SFI0016,up,E00118,E00119,2018-03-18T00:00:00+00:00,7322.0,2018-03-21T00:00:00+00:00,9177.01,2018-04-12T23:59:59.999000+00:00,accepted,correction_accepted,2018-03-28T00:00:00+00:00,,fib_deadline_reached_without_new_parent_extreme,False,3.0,13.0,0.23076923,,fib_deadline_reached_without_new_parent_extreme
SFC0025,SFI0017,down,E00119,E00122,2018-03-21T00:00:00+00:00,9177.01,2018-04-01T00:00:00+00:00,6430.0,2018-04-12T23:59:59.999000+00:00,accepted,correction_accepted,2018-03-31T00:00:00+00:00,,fib_deadline_reached_without_new_parent_extreme,False,11.0,3.0,3.66666667,,fib_deadline_reached_without_new_parent_extreme
SFC0026,SFI0018,up,E00122,E00123,2018-04-01T00:00:00+00:00,6430.0,2018-05-05T00:00:00+00:00,10020.0,2018-05-11T23:59:59.999000+00:00,accepted,correction_accepted,2018-04-11T00:00:00+00:00,,fib_deadline_reached_without_new_parent_extreme,False,34.0,11.0,3.09090909,,fib_deadline_reached_without_new_parent_extreme
SFC0027,SFI0019,down,E00123,E00139,2018-05-05T00:00:00+00:00,10020.0,2018-06-24T00:00:00+00:00,5750.0,2018-07-17T23:59:59.999000+00:00,accepted,correction_accepted,2018-05-17T23:42:43.200000+00:00,,fib_deadline_reached_without_new_parent_extreme,False,50.0,34.0,1.47058824,,fib_deadline_reached_without_new_parent_extreme
SFC0028,SFI0020,up,E00139,E00140,2018-06-24T00:00:00+00:00,5750.0,2018-07-25T00:00:00+00:00,8491.77,2018-08-04T23:59:59.999000+00:00,accepted,correction_accepted,2018-07-13T02:24:00+00:00,,fib_deadline_reached_without_new_parent_extreme,False,31.0,50.0,0.62,,fib_deadline_reached_without_new_parent_extreme
SFC0029,SFI0021,down,E00140,E00148,2018-07-25T00:00:00+00:00,8491.77,2018-08-14T00:00:00+00:00,5880.0,2018-08-28T23:59:59.999000+00:00,accepted,correction_accepted,2018-08-05T20:12:28.800000+00:00,,fib_deadline_reached_without_new_parent_extreme,False,20.0,31.0,0.64516129,,fib_deadline_reached_without_new_parent_extreme
SFC0030,SFI0022,up,E00148,E00149,2018-08-14T00:00:00+00:00,5880.0,2018-09-04T00:00:00+00:00,7410.0,2018-09-08T23:59:59.999000+00:00,accepted,correction_accepted,2018-08-24T00:00:00+00:00,,fib_deadline_reached_without_new_parent_extreme,False,21.0,20.0,1.05,,fib_deadline_reached_without_new_parent_extreme
SFC0031,SFI0023,down,E00149,E00152,2018-09-04T00:00:00+00:00,7410.0,2018-09-19T00:00:00+00:00,6123.0,2018-10-15T23:59:59.999000+00:00,accepted,correction_accepted,2018-09-14T00:00:00+00:00,,fib_deadline_reached_without_new_parent_extreme,False,15.0,21.0,0.71428571,,fib_deadline_reached_without_new_parent_extreme
SFC0032,SFI0024,up,E00152,E00153,2018-09-19T00:00:00+00:00,6123.0,2018-10-15T00:00:00+00:00,7680.0,2018-10-29T23:59:59.999000+00:00,accepted,correction_accepted,2018-09-29T00:00:00+00:00,,fib_deadline_reached_without_new_parent_extreme,False,26.0,15.0,1.73333333,,fib_deadline_reached_without_new_parent_extreme
SFC0033,SFI0025,down,E00153,E00163,2018-10-15T00:00:00+00:00,7680.0,2018-11-25T00:00:00+00:00,3652.66,2018-11-28T23:59:59.999000+00:00,accepted,correction_accepted,2018-10-25T00:00:00+00:00,,fib_deadline_reached_without_new_parent_extreme,False,41.0,26.0,1.57692308,,fib_deadline_reached_without_new_parent_extreme
SFC0034,SFI0026,up,E00163,E00164,2018-11-25T00:00:00+00:00,3652.66,2018-11-29T00:00:00+00:00,4450.38,2018-12-19T23:59:59.999000+00:00,rejected,correction_rejected,,2018-12-06T00:00:00+00:00,new_parent_extreme_before_fib_deadline,False,4.0,41.0,0.09756098,SFI0026,new_parent_extreme_before_fib_deadline
SFC0035,SFI0026,down,E00164,E00169,2018-11-29T00:00:00+00:00,4450.38,2018-12-15T00:00:00+00:00,3156.26,2018-12-19T23:59:59.999000+00:00,accepted,correction_accepted,2018-12-09T00:00:00+00:00,,fib_deadline_reached_without_new_parent_extreme,False,16.0,4.0,4.0,,fib_deadline_reached_without_new_parent_extreme
SFC0036,SFI0027,up,E00169,E00170,2018-12-15T00:00:00+00:00,3156.26,2018-12-24T00:00:00+00:00,4198.0,2019-02-23T23:59:59.999000+00:00,accepted,correction_accepted,2018-12-25T00:00:00+00:00,,fib_deadline_reached_without_new_parent_extreme,False,9.0,16.0,0.5625,,fib_deadline_reached_without_new_parent_extreme
SFC0037,SFI0028,down,E00170,E00176,2018-12-24T00:00:00+00:00,4198.0,2019-01-29T00:00:00+00:00,3349.92,2019-02-23T23:59:59.999000+00:00,accepted,correction_accepted,2019-01-03T00:00:00+00:00,,fib_deadline_reached_without_new_parent_extreme,False,36.0,9.0,4.0,,fib_deadline_reached_without_new_parent_extreme
SFC0038,SFI0029,up,E00176,E00177,2019-01-29T00:00:00+00:00,3349.92,2019-05-14T00:00:00+00:00,8366.0,2019-05-17T23:59:59.999000+00:00,accepted,correction_accepted,2019-02-11T18:02:52.800000+00:00,,fib_deadline_reached_without_new_parent_extreme,False,105.0,36.0,2.91666667,,fib_deadline_reached_without_new_parent_extreme
SFC0039,SFI0030,down,E00180,E00183,2019-05-30T00:00:00+00:00,9074.26,2019-06-06T00:00:00+00:00,7444.58,2019-06-27T23:59:59.999000+00:00,accepted,correction_accepted,2019-06-09T00:00:00+00:00,,fib_deadline_reached_without_new_parent_extreme,False,7.0,12.0,0.58333333,,fib_deadline_reached_without_new_parent_extreme
SFC0040,SFI0031,up,E00183,E00184,2019-06-06T00:00:00+00:00,7444.58,2019-06-26T00:00:00+00:00,13970.0,2019-06-27T23:59:59.999000+00:00,accepted,correction_accepted,2019-06-16T00:00:00+00:00,,fib_deadline_reached_without_new_parent_extreme,False,20.0,7.0,2.85714286,,fib_deadline_reached_without_new_parent_extreme
SFC0041,SFI0032,down,E00184,E00189,2019-06-26T00:00:00+00:00,13970.0,2019-07-02T00:00:00+00:00,9727.0,2019-07-13T23:59:59.999000+00:00,accepted,correction_accepted,2019-07-06T00:00:00+00:00,,fib_deadline_reached_without_new_parent_extreme,False,6.0,20.0,0.3,,fib_deadline_reached_without_new_parent_extreme
SFC0042,SFI0033,up,E00189,E00190,2019-07-02T00:00:00+00:00,9727.0,2019-07-10T00:00:00+00:00,13147.08,2019-07-20T23:59:59.999000+00:00,accepted,correction_accepted,2019-07-12T00:00:00+00:00,,fib_deadline_reached_without_new_parent_extreme,False,8.0,6.0,1.33333333,,fib_deadline_reached_without_new_parent_extreme
SFC0043,SFI0034,down,E00190,E00195,2019-07-10T00:00:00+00:00,13147.08,2019-07-17T00:00:00+00:00,9060.0,2019-07-28T23:59:59.999000+00:00,accepted,correction_accepted,2019-07-20T00:00:00+00:00,,fib_deadline_reached_without_new_parent_extreme,False,7.0,8.0,0.875,,fib_deadline_reached_without_new_parent_extreme
SFC0044,SFI0035,up,E00195,E00196,2019-07-17T00:00:00+00:00,9060.0,2019-07-20T00:00:00+00:00,11068.99,2019-07-28T23:59:59.999000+00:00,accepted,correction_accepted,2019-07-27T00:00:00+00:00,,fib_deadline_reached_without_new_parent_extreme,False,3.0,7.0,0.42857143,,fib_deadline_reached_without_new_parent_extreme
SFC0045,SFI0036,down,E00199,E00210,2019-08-06T00:00:00+00:00,12330.7,2019-10-23T16:00:00+00:00,7172.76,2019-10-25T23:59:59.999000+00:00,accepted,correction_accepted,2019-08-16T00:00:00+00:00,,fib_deadline_reached_without_new_parent_extreme,False,78.66666667,8.0,9.83333333,,fib_deadline_reached_without_new_parent_extreme
SFC0046,SFI0037,up,E00210,E00211,2019-10-23T16:00:00+00:00,7172.76,2019-10-26T00:00:00+00:00,10408.48,2019-11-29T23:59:59.999000+00:00,rejected,correction_rejected,,2019-11-22T08:00:00+00:00,new_parent_extreme_before_fib_deadline,False,2.33333333,78.666667,0.02966102,SFI0037,new_parent_extreme_before_fib_deadline
SFC0047,SFI0037,down,E00211,E00227,2019-10-26T00:00:00+00:00,10408.48,2019-11-25T04:00:00+00:00,6510.19,2019-11-29T23:59:59.999000+00:00,accepted,correction_accepted,2019-11-05T00:00:00+00:00,,fib_deadline_reached_without_new_parent_extreme,False,30.16666667,2.333333,12.92857328,,fib_deadline_reached_without_new_parent_extreme
SFC0048,SFI0038,up,E00227,E00228,2019-11-25T04:00:00+00:00,6510.19,2019-11-29T16:00:00+00:00,7850.0,2019-12-18T23:59:59.999000+00:00,accepted,correction_accepted,2019-12-06T16:34:04.811001600+00:00,,fib_deadline_reached_without_new_parent_extreme,False,4.5,30.166667,0.14917127,,fib_deadline_reached_without_new_parent_extreme
