event_id,event_type,timestamp_1d,refined_timestamp_4h,price_1d,refined_price_4h,drawdown_pct,rebound_pct,atr_1d,atr_multiple,confirmation_reason,available_at,source_timeframe
E00001,ath_update,2017-08-17T00:00:00+00:00,2017-08-17T00:00:00+00:00,4485.39,4485.39,0.0,,284.65,0.0,high_gt_all_previous_high,2017-08-17T23:59:59.999000+00:00,1D
E00002,confirmed_macro_high,2017-08-17T00:00:00+00:00,2017-08-17T00:00:00+00:00,4485.39,4485.39,0.241983,,357.2,,log_drawdown>=ln(1.20000000)|log_drawdown=0.2770500166,2017-08-22T23:59:59.999000+00:00,1D
E00003,candidate_macro_low,2017-08-23T00:00:00+00:00,2017-08-23T00:00:00+00:00,4013.89,4013.89,0.105119,0.0,342.15857143,,new_low_after_confirmed_macro_high,2017-08-23T23:59:59.999000+00:00,1D
E00004,ath_update,2017-08-29T00:00:00+00:00,2017-08-29T00:00:00+00:00,4625.85,4625.85,0.0,,288.06461538,0.0,high_gt_all_previous_high,2017-08-29T23:59:59.999000+00:00,1D
E00005,ath_update,2017-08-30T00:00:00+00:00,2017-08-30T00:00:00+00:00,4647.51,4647.51,0.0,,284.02428571,0.0,high_gt_all_previous_high,2017-08-30T23:59:59.999000+00:00,1D
E00006,ath_update,2017-08-31T00:00:00+00:00,2017-08-31T00:00:00+00:00,4745.42,4745.42,0.0,,277.28357143,0.0,high_gt_all_previous_high,2017-08-31T23:59:59.999000+00:00,1D
E00007,ath_update,2017-09-01T00:00:00+00:00,2017-09-01T00:00:00+00:00,4885.55,4885.55,0.0,,262.84928571,0.0,high_gt_all_previous_high,2017-09-01T23:59:59.999000+00:00,1D
E00008,confirmed_macro_low,2017-08-23T00:00:00+00:00,2017-08-23T00:00:00+00:00,4013.89,4013.89,0.105119,0.217161,262.84928571,,log_rebound>=ln(1.20000000)|log_rebound=0.1965210228,2017-09-01T23:59:59.999000+00:00,1D
E00009,ath_update,2017-09-02T00:00:00+00:00,2017-09-02T00:00:00+00:00,4939.19,4939.19,0.0,,285.53714286,0.0,high_gt_all_previous_high,2017-09-02T23:59:59.999000+00:00,1D
E00010,confirmed_macro_high,2017-09-02T00:00:00+00:00,2017-09-02T00:00:00+00:00,4939.19,4939.19,0.195716,,327.33142857,,log_drawdown>=ln(1.20000000)|log_drawdown=0.2178032134,2017-09-04T23:59:59.999000+00:00,1D
E00011,candidate_macro_low,2017-09-05T00:00:00+00:00,2017-09-05T00:00:00+00:00,3603.0,3603.0,0.270528,0.0,339.98642857,,new_low_after_confirmed_macro_high,2017-09-05T23:59:59.999000+00:00,1D
E00012,confirmed_macro_low,2017-09-05T00:00:00+00:00,2017-09-05T00:00:00+00:00,3603.0,3603.0,0.270528,0.244793,339.98642857,,log_rebound>=ln(1.20000000)|log_rebound=0.2189694341,2017-09-05T23:59:59.999000+00:00,1D
E00013,confirmed_macro_high,2017-09-07T00:00:00+00:00,2017-09-07T00:00:00+00:00,4788.59,4788.59,0.206238,,420.62714286,,log_drawdown>=ln(1.20000000)|log_drawdown=0.2309718148,2017-09-10T23:59:59.999000+00:00,1D
E00014,candidate_macro_low,2017-09-11T00:00:00+00:00,2017-09-11T00:00:00+00:00,4098.91,4098.91,0.144026,0.0,417.78714286,,new_low_after_confirmed_macro_high,2017-09-11T23:59:59.999000+00:00,1D
E00015,candidate_macro_low,2017-09-12T00:00:00+00:00,2017-09-12T00:00:00+00:00,4040.8,4040.8,0.156161,0.0,420.75071429,,new_low_after_confirmed_macro_high,2017-09-12T23:59:59.999000+00:00,1D
E00016,candidate_macro_low,2017-09-13T00:00:00+00:00,2017-09-13T00:00:00+00:00,3760.0,3760.0,0.2148,0.0,433.17071429,,new_low_after_confirmed_macro_high,2017-09-13T23:59:59.999000+00:00,1D
