event_id,event_time,available_at_time,regime_before,regime_after,anchor,low_A/high_A,accepted_rebound_high/accepted_pullback_low,break_level/time,current_extreme,reason
RF0001,2017-12-30T00:00:00+00:00,2018-01-11T23:59:59.999000+00:00,bull,bear,2017-12-17T00:00:00+00:00|19798.68,2017-12-30T00:00:00+00:00|11750.0,2017-12-27T00:00:00+00:00|16498.05,11750.0|2018-01-11T00:00:00+00:00,2018-01-11T00:00:00+00:00|11400.0,regime_anchor_high -> structural_impulse_low_A -> accepted_rebound_high_B -> break_below_low_A
RF0002,2018-03-21T00:00:00+00:00,2018-04-24T23:59:59.999000+00:00,bear,bull,2018-02-06T00:00:00+00:00|6000.01,2018-03-21T00:00:00+00:00|9177.01,2018-04-01T00:00:00+00:00|6430.0,9177.01|2018-04-24T00:00:00+00:00,2018-04-24T00:00:00+00:00|9731.01,regime_anchor_low -> structural_impulse_high_A -> accepted_pullback_low_B -> break_above_high_A
RF0003,2018-04-01T00:00:00+00:00,2018-06-13T23:59:59.999000+00:00,bull,bear,2017-12-17T00:00:00+00:00|19798.68,2018-04-01T00:00:00+00:00|6430.0,2018-05-05T00:00:00+00:00|10020.0,6430.0|2018-06-13T00:00:00+00:00,2018-06-13T00:00:00+00:00|6118.68,regime_anchor_high -> structural_impulse_low_A -> accepted_rebound_high_B -> break_below_low_A
RF0004,2018-09-04T00:00:00+00:00,2018-10-15T23:59:59.999000+00:00,bear,bull,2018-06-24T00:00:00+00:00|5750.0,2018-09-04T00:00:00+00:00|7410.0,2018-09-19T00:00:00+00:00|6123.0,7410.0|2018-10-15T00:00:00+00:00,2018-10-15T00:00:00+00:00|7680.0,regime_anchor_low -> structural_impulse_high_A -> accepted_pullback_low_B -> break_above_high_A
RF0005,2018-09-19T00:00:00+00:00,2018-11-14T23:59:59.999000+00:00,bull,bear,2017-12-17T00:00:00+00:00|19798.68,2018-09-19T00:00:00+00:00|6123.0,2018-10-15T00:00:00+00:00|7680.0,6123.0|2018-11-14T00:00:00+00:00,2018-11-14T00:00:00+00:00|5656.87,regime_anchor_high -> structural_impulse_low_A -> accepted_rebound_high_B -> break_below_low_A
RF0006,2018-12-24T00:00:00+00:00,2019-04-02T23:59:59.999000+00:00,bear,bull,2018-12-15T00:00:00+00:00|3156.26,2018-12-24T00:00:00+00:00|4198.0,2019-01-29T00:00:00+00:00|3349.92,4198.0|2019-04-02T00:00:00+00:00,2019-04-02T00:00:00+00:00|4897.99,regime_anchor_low -> structural_impulse_high_A -> accepted_pullback_low_B -> break_above_high_A
RF0007,2019-07-02T00:00:00+00:00,2019-07-16T23:59:59.999000+00:00,bull,bear,2017-12-17T00:00:00+00:00|19798.68,2019-07-02T00:00:00+00:00|9727.0,2019-06-26T00:00:00+00:00|13970.0,9727.0|2019-07-16T00:00:00+00:00,2019-07-16T00:00:00+00:00|9350.01,regime_anchor_high -> structural_impulse_low_A -> accepted_rebound_high_B -> break_below_low_A
RF0008,2020-05-07T20:00:00+00:00,2020-09-03T23:59:59.999000+00:00,bear,bull,2020-03-13T00:00:00+00:00|3621.81,2020-05-07T20:00:00+00:00|10080.0,2020-05-11T16:00:00+00:00|8151.12,10080.0|2020-09-03T00:00:00+00:00,2020-09-03T00:00:00+00:00|11475.0,regime_anchor_low -> structural_impulse_high_A -> accepted_pullback_low_B -> break_above_high_A
RF0009,2021-04-25T20:00:00+00:00,2021-05-13T23:59:59.999000+00:00,bull,bear,2021-04-14T00:00:00+00:00|64986.11,2021-04-25T20:00:00+00:00|46930.43,2021-05-10T04:00:00+00:00|59654.0,46930.43|2021-05-13T00:00:00+00:00,2021-05-13T00:00:00+00:00|45596.32,regime_anchor_high -> structural_impulse_low_A -> accepted_rebound_high_B -> break_below_low_A
RF0010,2021-06-29T16:00:00+00:00,2021-07-26T23:59:59.999000+00:00,bear,bull,2021-05-19T00:00:00+00:00|28688.0,2021-06-29T16:00:00+00:00|36623.0,2021-07-20T12:00:00+00:00|29242.24,36623.0|2021-07-26T00:00:00+00:00,2021-07-26T00:00:00+00:00|48168.6,regime_anchor_low -> structural_impulse_high_A -> accepted_pullback_low_B -> break_above_high_A
