fib_event_id,event_type,event_time,impulse_id,correction_id,reason
FTE00001,correction_accepted,2017-09-12T00:00:00+00:00,SFI0001,SFC0001,fib_deadline_reached_without_new_parent_extreme
FTE00002,correction_rejected,2017-09-14T00:00:00+00:00,SFI0002,SFC0002,new_parent_extreme_before_fib_deadline
FTE00003,correction_accepted,2017-09-17T00:00:00+00:00,SFI0002,SFC0003,fib_deadline_reached_without_new_parent_extreme
FTE00004,correction_rejected,2017-09-15T00:00:00+00:00,SFI0003,SFC0004,new_parent_extreme_before_fib_deadline
FTE00005,correction_rejected,2017-11-16T00:00:00+00:00,SFI0003,SFC0005,new_parent_extreme_before_fib_deadline
FTE00006,correction_accepted,2017-11-22T00:00:00+00:00,SFI0003,SFC0006,fib_deadline_reached_without_new_parent_extreme
FTE00007,correction_rejected,2017-12-03T00:00:00+00:00,SFI0004,SFC0007,new_parent_extreme_before_fib_deadline
FTE00008,correction_accepted,2017-12-10T00:00:00+00:00,SFI0004,SFC0008,fib_deadline_reached_without_new_parent_extreme
FTE00009,correction_rejected,2017-12-08T00:00:00+00:00,SFI0005,SFC0009,new_parent_extreme_before_fib_deadline
FTE00010,correction_accepted,2017-12-20T00:00:00+00:00,SFI0005,SFC0010,fib_deadline_reached_without_new_parent_extreme
FTE00011,correction_accepted,2017-12-27T00:00:00+00:00,SFI0006,SFC0011,fib_deadline_reached_without_new_parent_extreme
FTE00012,correction_accepted,2018-01-03T00:00:00+00:00,SFI0007,SFC0012,fib_deadline_reached_without_new_parent_extreme
FTE00013,correction_rejected,2018-01-05T00:00:00+00:00,SFI0008,SFC0013,new_parent_extreme_before_fib_deadline
FTE00014,correction_accepted,2018-01-09T00:00:00+00:00,SFI0008,SFC0014,fib_deadline_reached_without_new_parent_extreme
FTE00015,correction_accepted,2018-01-15T00:00:00+00:00,SFI0009,SFC0015,fib_deadline_reached_without_new_parent_extreme
FTE00016,correction_accepted,2018-01-27T00:00:00+00:00,SFI0010,SFC0016,fib_deadline_reached_without_new_parent_extreme
FTE00017,correction_accepted,2018-01-30T00:00:00+00:00,SFI0011,SFC0017,fib_deadline_reached_without_new_parent_extreme
FTE00018,correction_rejected,2018-01-30T00:00:00+00:00,SFI0012,SFC0018,new_parent_extreme_before_fib_deadline
FTE00019,correction_accepted,2018-02-07T00:00:00+00:00,SFI0012,SFC0019,fib_deadline_reached_without_new_parent_extreme
FTE00020,correction_rejected,2018-02-06T00:00:00+00:00,SFI0013,SFC0020,new_parent_extreme_before_fib_deadline
FTE00021,correction_accepted,2018-03-02T00:00:00+00:00,SFI0013,SFC0021,fib_deadline_reached_without_new_parent_extreme
FTE00022,correction_accepted,2018-03-07T00:00:00+00:00,SFI0014,SFC0022,fib_deadline_reached_without_new_parent_extreme
FTE00023,correction_accepted,2018-03-15T00:00:00+00:00,SFI0015,SFC0023,fib_deadline_reached_without_new_parent_extreme
FTE00024,correction_accepted,2018-03-28T00:00:00+00:00,SFI0016,SFC0024,fib_deadline_reached_without_new_parent_extreme
FTE00025,correction_accepted,2018-03-31T00:00:00+00:00,SFI0017,SFC0025,fib_deadline_reached_without_new_parent_extreme
FTE00026,correction_accepted,2018-04-11T00:00:00+00:00,SFI0018,SFC0026,fib_deadline_reached_without_new_parent_extreme
FTE00027,correction_accepted,2018-05-17T23:42:43.200000+00:00,SFI0019,SFC0027,fib_deadline_reached_without_new_parent_extreme
FTE00028,correction_accepted,2018-07-13T02:24:00+00:00,SFI0020,SFC0028,fib_deadline_reached_without_new_parent_extreme
FTE00029,correction_accepted,2018-08-05T20:12:28.800000+00:00,SFI0021,SFC0029,fib_deadline_reached_without_new_parent_extreme
FTE00030,correction_accepted,2018-08-24T00:00:00+00:00,SFI0022,SFC0030,fib_deadline_reached_without_new_parent_extreme
FTE00031,correction_accepted,2018-09-14T00:00:00+00:00,SFI0023,SFC0031,fib_deadline_reached_without_new_parent_extreme
FTE00032,correction_accepted,2018-09-29T00:00:00+00:00,SFI0024,SFC0032,fib_deadline_reached_without_new_parent_extreme
FTE00033,correction_accepted,2018-10-25T00:00:00+00:00,SFI0025,SFC0033,fib_deadline_reached_without_new_parent_extreme
FTE00034,correction_rejected,2018-12-06T00:00:00+00:00,SFI0026,SFC0034,new_parent_extreme_before_fib_deadline
FTE00035,correction_accepted,2018-12-09T00:00:00+00:00,SFI0026,SFC0035,fib_deadline_reached_without_new_parent_extreme
FTE00036,correction_accepted,2018-12-25T00:00:00+00:00,SFI0027,SFC0036,fib_deadline_reached_without_new_parent_extreme
FTE00037,correction_accepted,2019-01-03T00:00:00+00:00,SFI0028,SFC0037,fib_deadline_reached_without_new_parent_extreme
FTE00038,correction_accepted,2019-02-11T18:02:52.800000+00:00,SFI0029,SFC0038,fib_deadline_reached_without_new_parent_extreme
FTE00039,correction_accepted,2019-06-09T00:00:00+00:00,SFI0030,SFC0039,fib_deadline_reached_without_new_parent_extreme
FTE00040,correction_accepted,2019-06-16T00:00:00+00:00,SFI0031,SFC0040,fib_deadline_reached_without_new_parent_extreme
FTE00041,correction_accepted,2019-07-06T00:00:00+00:00,SFI0032,SFC0041,fib_deadline_reached_without_new_parent_extreme
FTE00042,correction_accepted,2019-07-12T00:00:00+00:00,SFI0033,SFC0042,fib_deadline_reached_without_new_parent_extreme
FTE00043,correction_accepted,2019-07-20T00:00:00+00:00,SFI0034,SFC0043,fib_deadline_reached_without_new_parent_extreme
FTE00044,correction_accepted,2019-07-27T00:00:00+00:00,SFI0035,SFC0044,fib_deadline_reached_without_new_parent_extreme
FTE00045,correction_accepted,2019-08-16T00:00:00+00:00,SFI0036,SFC0045,fib_deadline_reached_without_new_parent_extreme
FTE00046,correction_rejected,2019-11-22T08:00:00+00:00,SFI0037,SFC0046,new_parent_extreme_before_fib_deadline
