candidate_id,candidate_type,status,reason_not_confirmed,anchor_time,anchor_price,lowA_time,lowA_price,lowerHighB_time,lowerHighB_price,confirmation_break_date,threshold_drawdown_pct,threshold_rebound_pct,reboundHighA_time,higherLowB_time,actual_drawdown_pct,actual_rebound_pct,reboundHighA_price,higherLowB_price,actual_pullback_retention_pct
bear_0001,bear_candidate,confirmed,confirmed_bear_market,2017-12-17T00:00:00+00:00,19798.68,2017-12-24T00:00:00+00:00,11640.0,2018-01-05T00:00:00+00:00,17176.24,2018-01-11T00:00:00+00:00,0.4,0.18,,,0.412082,0.475622,,,
bull_0002,bull_candidate,cancelled,new_lower_low_before_confirmation,2018-01-16T00:00:00+00:00,9035.0,,,,,,,0.25,2018-01-20T00:00:00+00:00,2018-01-23T00:00:00+00:00,,0.449806,13099.0,9905.0,0.096292
bull_0003,bull_candidate,cancelled,new_lower_low_before_confirmation,2018-02-06T00:00:00+00:00,6000.01,,,,,,,0.25,2018-02-20T00:00:00+00:00,2018-02-25T00:00:00+00:00,,0.964332,11786.01,9274.8,0.545797
bull_0004,bull_candidate,cancelled,new_lower_low_before_confirmation,2018-06-24T00:00:00+00:00,5750.0,,,,,,,0.25,2018-07-25T00:00:00+00:00,2018-09-19T00:00:00+00:00,,0.47683,8491.77,6123.0,0.06487
bull_0005,bull_candidate,confirmed,confirmed_bull_market,2018-12-15T00:00:00+00:00,3156.26,,,,,2019-05-18T00:00:00+00:00,,0.25,2018-12-24T00:00:00+00:00,2019-05-18T00:00:00+00:00,,0.330055,4198.0,7156.61,1.267434
bear_0006,bear_candidate,confirmed,confirmed_bear_market,2019-06-26T00:00:00+00:00,13970.0,2019-10-23T00:00:00+00:00,7300.0,2020-02-13T00:00:00+00:00,10540.0,2020-03-12T00:00:00+00:00,0.4,0.18,,,0.477452,0.443836,,,
bull_0007,bull_candidate,confirmed,confirmed_bull_market,2020-03-13T00:00:00+00:00,3621.81,,,,,2020-05-11T00:00:00+00:00,,0.25,2020-03-20T00:00:00+00:00,2020-05-11T00:00:00+00:00,,0.908162,6911.0,8151.12,1.250565
bear_0008,bear_candidate,cancelled,new_ath_before_confirmation,2021-04-14T00:00:00+00:00,64986.11,2021-05-19T00:00:00+00:00,28688.0,2021-09-07T00:00:00+00:00,52950.0,,0.4,0.18,,,0.558552,0.845719,,,
bear_0009,bear_candidate,confirmed,confirmed_bear_market,2021-11-10T00:00:00+00:00,69198.7,2022-01-24T00:00:00+00:00,32853.83,2022-03-28T00:00:00+00:00,48200.0,2022-05-31T00:00:00+00:00,0.4,0.18,,,0.525225,0.467104,,,
bull_0010,bull_candidate,cancelled,new_lower_low_before_confirmation,2022-06-18T00:00:00+00:00,17593.2,,,,,,,0.25,2022-08-15T00:00:00+00:00,2022-09-07T00:00:00+00:00,,0.432372,25200.0,18500.0,0.051543
bull_0011,bull_candidate,confirmed,confirmed_bull_market,2022-11-21T00:00:00+00:00,15443.2,,,,,2023-06-15T00:00:00+00:00,,0.25,2023-02-21T00:00:00+00:00,2023-06-15T00:00:00+00:00,,0.641344,25347.6,24777.0,0.604395
bear_0012,bear_candidate,open,open_bear_candidate_at_data_end,2025-10-06T00:00:00+00:00,126208.5,2026-02-06T00:00:00+00:00,59800.0,2026-05-06T00:00:00+00:00,82828.7,,0.4,0.18,,,0.526181,0.385095,,,
