event_id,event_type,event_label,event_time,available_at,price,source_macro_event_id,source_macro_event_type,confirmation_reason,market_after
MKT0001,deep_correction_low,Deep Correction 2017,2017-09-14T00:00:00+00:00,2017-09-14T23:59:59.999000+00:00,3165.13,E00018,confirmed_macro_low,new_ath_before_bear_market_confirmation,bull
MKT0002,deep_correction_low,Deep Correction 2017,2017-11-12T00:00:00+00:00,2017-11-12T23:59:59.999000+00:00,5325.01,E00041,confirmed_macro_low,new_ath_before_bear_market_confirmation,bull
MKT0003,high_correction_low,High Correction 2017,2017-11-30T00:00:00+00:00,2017-11-30T23:59:59.999000+00:00,8850.8,E00054,confirmed_macro_low,new_ath_before_bear_market_confirmation,bull
MKT0004,high_correction_low,High Correction 2017,2017-12-10T00:00:00+00:00,2017-12-10T23:59:59.999000+00:00,12368.0,E00065,confirmed_macro_low,new_ath_before_bear_market_confirmation,bull
MKT0005,confirmed_cycle_high,ATH 2017,2017-12-17T00:00:00+00:00,2017-12-17T23:59:59.999000+00:00,19798.68,,,ath -> protected_low_A -> rebound_B -> break_below_A,bear
MKT0006,confirmed_cycle_low,Bear Market Low 2018,2018-12-15T00:00:00+00:00,2018-12-15T23:59:59.999000+00:00,3156.26,,,bear_low -> rebound_A -> higher_low_B -> break_above_A,bull
MKT0007,confirmed_cycle_high,Cycle High 2019,2019-06-26T00:00:00+00:00,2019-06-26T23:59:59.999000+00:00,13970.0,,,ath -> protected_low_A -> rebound_B -> break_below_A,bear
MKT0008,confirmed_cycle_low,Bear Market Low 2020,2020-03-13T00:00:00+00:00,2020-03-13T23:59:59.999000+00:00,3621.81,,,bear_low -> rebound_A -> higher_low_B -> break_above_A,bull
MKT0009,high_correction_low,High Correction 2020,2020-09-05T00:00:00+00:00,2020-10-19T23:59:59.999000+00:00,9808.58,E00258,confirmed_macro_low,new_ath_before_bear_market_confirmation,bull
MKT0010,deep_correction_low,Deep Correction 2021,2021-01-22T00:00:00+00:00,2021-01-25T23:59:59.999000+00:00,28880.0,E00289,confirmed_macro_low,new_ath_before_bear_market_confirmation,bull
MKT0011,high_correction_low,High Correction 2021,2021-02-28T00:00:00+00:00,2021-03-03T23:59:59.999000+00:00,43002.05,E00314,confirmed_macro_low,new_ath_before_bear_market_confirmation,bull
MKT0012,deep_correction_low,Deep Correction 2021,2021-05-19T00:00:00+00:00,2021-05-19T23:59:59.999000+00:00,28688.0,E00333,confirmed_macro_low,new_ath_before_bear_market_confirmation,bull
MKT0013,confirmed_cycle_high,ATH 2021,2021-11-10T00:00:00+00:00,2021-11-10T23:59:59.999000+00:00,69198.7,,,ath -> protected_low_A -> rebound_B -> break_below_A,bear
MKT0014,confirmed_cycle_low,Bear Market Low 2022,2022-11-21T00:00:00+00:00,2022-11-21T23:59:59.999000+00:00,15443.2,,,bear_low -> rebound_A -> higher_low_B -> break_above_A,bull
MKT0015,high_correction_low,High Correction 2023,2023-09-11T00:00:00+00:00,2023-10-16T23:59:59.999000+00:00,24888.0,E00453,confirmed_macro_low,new_ath_before_bear_market_confirmation,bull
MKT0016,high_correction_low,High Correction 2024,2024-01-23T00:00:00+00:00,2024-02-09T23:59:59.999000+00:00,38545.0,E00461,confirmed_macro_low,new_ath_before_bear_market_confirmation,bull
MKT0017,deep_correction_low,Deep Correction 2024,2024-08-05T00:00:00+00:00,2024-08-08T23:59:59.999000+00:00,48888.0,E00486,confirmed_macro_low,new_ath_before_bear_market_confirmation,bull
MKT0018,deep_correction_low,Deep Correction 2025,2025-04-07T00:00:00+00:00,2025-04-22T23:59:59.999000+00:00,74457.0,E00517,confirmed_macro_low,new_ath_before_bear_market_confirmation,bull
MKT0019,active_ath,ATH 2025,2025-10-06T00:00:00+00:00,2025-10-06T23:59:59.999000+00:00,126208.5,,,open_bull_market_current_ath,bull
MKT0020,current_bear_market_low,Bear Market Low 2026,2026-02-06T00:00:00+00:00,2026-07-07T23:59:59.999000+00:00,59800.0,,,open_bear_market_candidate_low,bear
