leg_id,direction,start_event_id,end_event_id,start_time,end_time,start_price,end_price,move_pct,price_factor,log_move,abs_log_move,duration_days,duration_hours,duration_precision,is_subday_known,is_subday,available_at_time,role
L00001,up,E00008,E00010,2017-08-23 00:00:00+00:00,2017-09-02 00:00:00+00:00,4013.89,4939.19,0.230525,1.2305245037,0.2074405042,0.2074405042,10.0,240.0,1D_fallback,False,False,2017-09-04 23:59:59.999000+00:00,raw_leg
L00002,down,E00010,E00012,2017-09-02 00:00:00+00:00,2017-09-05 00:00:00+00:00,4939.19,3603.0,-0.270528,1.3708548432,-0.3154345184,0.3154345184,3.0,72.0,1D_fallback,False,False,2017-09-05 23:59:59.999000+00:00,raw_leg
L00003,up,E00012,E00013,2017-09-05 00:00:00+00:00,2017-09-07 00:00:00+00:00,3603.0,4788.59,0.329056,1.3290563419,0.2844691731,0.2844691731,2.0,48.0,1D_fallback,False,False,2017-09-10 23:59:59.999000+00:00,raw_leg
L00004,down,E00013,E00018,2017-09-07 00:00:00+00:00,2017-09-14 00:00:00+00:00,4788.59,3165.13,-0.339027,1.5129204804,-0.4140418758,0.4140418758,7.0,168.0,1D_fallback,False,False,2017-09-14 23:59:59.999000+00:00,raw_leg
L00005,up,E00018,E00038,2017-09-14 00:00:00+00:00,2017-11-08 00:00:00+00:00,3165.13,7770.02,1.454882,2.45488179,0.8980786094,0.8980786094,55.0,1320.0,1D_fallback,False,False,2017-11-10 23:59:59.999000+00:00,raw_leg
L00006,down,E00038,E00041,2017-11-08 00:00:00+00:00,2017-11-12 00:00:00+00:00,7770.02,5325.01,-0.314672,1.4591559452,-0.3778581489,0.3778581489,4.0,96.0,1D_fallback,False,False,2017-11-12 23:59:59.999000+00:00,raw_leg
L00007,up,E00041,E00052,2017-11-12 00:00:00+00:00,2017-11-29 00:00:00+00:00,5325.01,11300.03,1.122067,2.1220673764,0.7523907911,0.7523907911,17.0,408.0,1D_fallback,False,False,2017-11-29 23:59:59.999000+00:00,raw_leg
L00008,down,E00052,E00054,2017-11-29 00:00:00+00:00,2017-11-30 00:00:00+00:00,11300.03,8850.8,-0.216745,1.2767241379,-0.2442975302,0.2442975302,1.0,24.0,1D_fallback,False,False,2017-11-30 23:59:59.999000+00:00,raw_leg
L00009,up,E00054,E00059,2017-11-30 00:00:00+00:00,2017-12-07 00:00:00+00:00,8850.8,16649.96,0.881181,1.8811813621,0.6318999636,0.6318999636,7.0,168.0,1D_fallback,False,False,2017-12-07 23:59:59.999000+00:00,raw_leg
L00010,down,E00059,E00065,2017-12-07 00:00:00+00:00,2017-12-10 00:00:00+00:00,16649.96,12368.0,-0.257175,1.3462128072,-0.2972953222,0.2972953222,3.0,72.0,1D_fallback,False,False,2017-12-10 23:59:59.999000+00:00,raw_leg
L00011,up,E00065,E00070,2017-12-10 00:00:00+00:00,2017-12-17 00:00:00+00:00,12368.0,19798.68,0.600799,1.6007988357,0.470502777,0.470502777,7.0,168.0,1D_fallback,False,False,2017-12-19 23:59:59.999000+00:00,raw_leg
L00012,down,E00070,E00077,2017-12-17 00:00:00+00:00,2017-12-24 00:00:00+00:00,19798.68,11640.0,-0.412082,1.7009175258,-0.5311678265,0.5311678265,7.0,168.0,1D_fallback,False,False,2017-12-25 23:59:59.999000+00:00,raw_leg
L00013,up,E00077,E00078,2017-12-24 00:00:00+00:00,2017-12-27 00:00:00+00:00,11640.0,16498.05,0.417358,1.4173582474,0.3487947498,0.3487947498,3.0,72.0,1D_fallback,False,False,2017-12-28 23:59:59.999000+00:00,raw_leg
L00014,down,E00078,E00081,2017-12-27 00:00:00+00:00,2017-12-30 00:00:00+00:00,16498.05,11750.0,-0.287795,1.4040893617,-0.3393889515,0.3393889515,3.0,72.0,1D_fallback,False,False,2017-12-30 23:59:59.999000+00:00,raw_leg
L00015,up,E00081,E00082,2017-12-30 00:00:00+00:00,2018-01-02 00:00:00+00:00,11750.0,15473.49,0.316893,1.316892766,0.2752749965,0.2752749965,3.0,72.0,1D_fallback,False,False,2018-01-02 23:59:59.999000+00:00,raw_leg
L00016,up,E00085,E00086,2018-01-04 00:00:00+00:00,2018-01-05 00:00:00+00:00,13918.04,17176.24,0.234099,1.2340990542,0.2103411931,0.2103411931,1.0,24.0,1D_fallback,False,False,2018-01-08 23:59:59.999000+00:00,raw_leg
L00017,down,E00086,E00093,2018-01-05 00:00:00+00:00,2018-01-17 00:00:00+00:00,17176.24,9037.94,-0.473811,1.900459618,-0.6420957611,0.6420957611,12.0,288.0,1D_fallback,False,False,2018-01-17 23:59:59.999000+00:00,raw_leg
L00018,up,E00093,E00094,2018-01-17 00:00:00+00:00,2018-01-20 00:00:00+00:00,9037.94,13099.0,0.449335,1.4493346935,0.3711046191,0.3711046191,3.0,72.0,1D_fallback,False,False,2018-01-22 23:59:59.999000+00:00,raw_leg
