segment_id,regime,start_time,end_time,start_price,end_price,available_at_time,source_impulse_id,status
SRG0001,bull,2017-08-23T00:00:00+00:00,2017-09-02T00:00:00+00:00,4013.89,4939.19,2017-09-12T00:00:00+00:00,SFI0001,finished_confirmed
SRG0002,bull,2017-09-05T00:00:00+00:00,2017-09-07T00:00:00+00:00,3603.0,4788.59,2017-09-17T00:00:00+00:00,SFI0002,finished_confirmed
SRG0003,bear,2017-11-08T00:00:00+00:00,2017-11-12T00:00:00+00:00,7770.02,5325.01,2017-11-22T00:00:00+00:00,SFI0003,finished_confirmed
SRG0004,bear,2017-11-29T00:00:00+00:00,2017-11-30T00:00:00+00:00,11300.03,8850.8,2017-12-10T00:00:00+00:00,SFI0004,finished_confirmed
SRG0005,bear,2017-12-07T00:00:00+00:00,2017-12-10T00:00:00+00:00,16649.96,12368.0,2017-12-20T00:00:00+00:00,SFI0005,finished_confirmed
SRG0006,bull,2017-12-10T00:00:00+00:00,2017-12-17T00:00:00+00:00,12368.0,19798.68,2017-12-27T00:00:00+00:00,SFI0006,finished_confirmed
SRG0007,bear,2017-12-17T00:00:00+00:00,2017-12-24T00:00:00+00:00,19798.68,11640.0,2018-01-03T00:00:00+00:00,SFI0007,finished_confirmed
SRG0008,bear,2017-12-27T00:00:00+00:00,2017-12-30T00:00:00+00:00,16498.05,11750.0,2018-01-09T00:00:00+00:00,SFI0008,finished_confirmed
SRG0009,bull,2018-01-04T00:00:00+00:00,2018-01-05T00:00:00+00:00,13918.04,17176.24,2018-01-15T00:00:00+00:00,SFI0009,finished_confirmed
SRG0010,bear,2018-01-05T00:00:00+00:00,2018-01-17T00:00:00+00:00,17176.24,9037.94,2018-01-27T00:00:00+00:00,SFI0010,finished_confirmed
SRG0011,bull,2018-01-17T00:00:00+00:00,2018-01-20T00:00:00+00:00,9037.94,13099.0,2018-01-30T00:00:00+00:00,SFI0011,finished_confirmed
SRG0012,bull,2018-01-23T00:00:00+00:00,2018-01-28T00:00:00+00:00,9905.0,12244.0,2018-02-07T00:00:00+00:00,SFI0012,finished_confirmed
SRG0013,bull,2018-02-05T00:00:00+00:00,2018-02-20T00:00:00+00:00,6625.0,11786.01,2018-03-02T00:00:00+00:00,SFI0013,finished_confirmed
SRG0014,bear,2018-02-20T00:00:00+00:00,2018-02-25T00:00:00+00:00,11786.01,9274.8,2018-03-07T00:00:00+00:00,SFI0014,finished_confirmed
SRG0015,bull,2018-02-25T00:00:00+00:00,2018-03-05T00:00:00+00:00,9274.8,11710.0,2018-03-15T00:00:00+00:00,SFI0015,finished_confirmed
SRG0016,bear,2018-03-05T00:00:00+00:00,2018-03-18T00:00:00+00:00,11710.0,7322.0,2018-03-28T00:00:00+00:00,SFI0016,finished_confirmed
SRG0017,bull,2018-03-18T00:00:00+00:00,2018-03-21T00:00:00+00:00,7322.0,9177.01,2018-03-31T00:00:00+00:00,SFI0017,finished_confirmed
SRG0018,bear,2018-03-21T00:00:00+00:00,2018-04-01T00:00:00+00:00,9177.01,6430.0,2018-04-12T23:59:59.999000+00:00,SFI0018,finished_confirmed
SRG0019,bull,2018-04-01T00:00:00+00:00,2018-05-05T00:00:00+00:00,6430.0,10020.0,2018-05-17T23:42:43.200000+00:00,SFI0019,finished_confirmed
SRG0020,bear,2018-05-05T00:00:00+00:00,2018-06-24T00:00:00+00:00,10020.0,5750.0,2018-07-17T23:59:59.999000+00:00,SFI0020,finished_confirmed
SRG0021,bull,2018-06-24T00:00:00+00:00,2018-07-25T00:00:00+00:00,5750.0,8491.77,2018-08-05T20:12:28.800000+00:00,SFI0021,finished_confirmed
SRG0022,bear,2018-07-25T00:00:00+00:00,2018-08-14T00:00:00+00:00,8491.77,5880.0,2018-08-28T23:59:59.999000+00:00,SFI0022,finished_confirmed
SRG0023,bull,2018-08-14T00:00:00+00:00,2018-09-04T00:00:00+00:00,5880.0,7410.0,2018-09-14T00:00:00+00:00,SFI0023,finished_confirmed
SRG0024,bear,2018-09-04T00:00:00+00:00,2018-09-19T00:00:00+00:00,7410.0,6123.0,2018-10-15T23:59:59.999000+00:00,SFI0024,finished_confirmed
SRG0025,bull,2018-09-19T00:00:00+00:00,2018-10-15T00:00:00+00:00,6123.0,7680.0,2018-10-29T23:59:59.999000+00:00,SFI0025,finished_confirmed
SRG0026,bull,2018-11-25T00:00:00+00:00,2018-11-29T00:00:00+00:00,3652.66,4450.38,2018-12-09T00:00:00+00:00,SFI0026,finished_confirmed
SRG0027,bear,2018-11-29T00:00:00+00:00,2018-12-15T00:00:00+00:00,4450.38,3156.26,2018-12-25T00:00:00+00:00,SFI0027,finished_confirmed
SRG0028,bull,2018-12-15T00:00:00+00:00,2018-12-24T00:00:00+00:00,3156.26,4198.0,2019-01-11T23:59:59.999000+00:00,SFI0028,finished_confirmed
SRG0029,bear,2018-12-24T00:00:00+00:00,2019-01-29T00:00:00+00:00,4198.0,3349.92,2019-02-23T23:59:59.999000+00:00,SFI0029,finished_confirmed
SRG0030,bull,2019-05-18T00:00:00+00:00,2019-05-30T00:00:00+00:00,7156.61,9074.26,2019-06-09T00:00:00+00:00,SFI0030,finished_confirmed
SRG0031,bear,2019-05-30T00:00:00+00:00,2019-06-06T00:00:00+00:00,9074.26,7444.58,2019-06-16T23:59:59.999000+00:00,SFI0031,finished_confirmed
SRG0032,bull,2019-06-06T00:00:00+00:00,2019-06-26T00:00:00+00:00,7444.58,13970.0,2019-07-06T00:00:00+00:00,SFI0032,finished_confirmed
SRG0033,bear,2019-06-26T00:00:00+00:00,2019-07-02T00:00:00+00:00,13970.0,9727.0,2019-07-12T00:00:00+00:00,SFI0033,finished_confirmed
SRG0034,bull,2019-07-02T00:00:00+00:00,2019-07-10T00:00:00+00:00,9727.0,13147.08,2019-07-20T00:00:00+00:00,SFI0034,finished_confirmed
SRG0035,bear,2019-07-10T00:00:00+00:00,2019-07-17T00:00:00+00:00,13147.08,9060.0,2019-07-27T00:00:00+00:00,SFI0035,finished_confirmed
SRG0036,bull,2019-07-29T00:00:00+00:00,2019-08-06T00:00:00+00:00,9395.0,12330.7,2019-08-16T00:00:00+00:00,SFI0036,finished_confirmed
SRG0037,bull,2019-10-23T16:00:00+00:00,2019-10-26T00:00:00+00:00,7172.76,10408.48,2019-11-05T00:00:00+00:00,SFI0037,finished_confirmed
SRG0038,bear,2019-10-26T00:00:00+00:00,2019-11-25T04:00:00+00:00,10408.48,6510.19,2019-12-06T16:34:04.811001600+00:00,SFI0038,finished_confirmed
SRG0039,bull,2020-01-03T00:00:00+00:00,2020-02-13T12:00:00+00:00,6863.44,10540.0,2020-02-29T08:28:19.200000+00:00,SFI0039,finished_confirmed
SRG0040,bear,2020-05-07T20:00:00+00:00,2020-05-11T16:00:00+00:00,10080.0,8151.12,2020-05-21T16:00:00+00:00,SFI0041,finished_confirmed
SRG0041,bull,2020-03-20T20:00:00+00:00,2020-05-07T20:00:00+00:00,5650.0,10080.0,2020-05-26T04:03:50.400000+00:00,SFI0040,finished_confirmed
SRG0042,bull,2020-05-11T16:00:00+00:00,2020-08-17T16:00:00+00:00,8151.12,12499.42,2020-09-24T02:27:50.400000+00:00,SFI0042,finished_confirmed
SRG0043,bear,2020-08-17T16:00:00+00:00,2020-09-05T16:00:00+00:00,12499.42,9808.58,2020-10-19T23:59:59.999000+00:00,SFI0043,finished_confirmed
SRG0044,bull,2021-01-05T04:00:00+00:00,2021-01-08T12:00:00+00:00,29900.0,42125.51,2021-01-18T12:00:00+00:00,SFI0044,finished_confirmed
SRG0045,bull,2021-01-13T00:00:00+00:00,2021-01-14T12:00:00+00:00,32420.0,40189.39,2021-01-24T12:00:00+00:00,SFI0045,finished_confirmed
SRG0046,bear,2021-01-14T12:00:00+00:00,2021-01-22T00:00:00+00:00,40189.39,28880.0,2021-02-01T00:00:00+00:00,SFI0046,finished_confirmed
SRG0047,bear,2021-01-29T12:00:00+00:00,2021-01-31T16:00:00+00:00,38641.1,32193.04,2021-02-10T16:00:00+00:00,SFI0047,finished_confirmed
SRG0048,bull,2021-02-10T12:00:00+00:00,2021-02-21T16:00:00+00:00,43770.0,58472.14,2021-03-03T16:00:00+00:00,SFI0048,finished_confirmed
SRG0049,bear,2021-02-21T16:00:00+00:00,2021-02-28T16:00:00+00:00,58472.14,43002.05,2021-03-10T16:00:00+00:00,SFI0049,finished_confirmed
SRG0050,bull,2021-02-28T16:00:00+00:00,2021-03-13T20:00:00+00:00,43002.05,61950.0,2021-03-25T23:59:59.999000+00:00,SFI0050,finished_confirmed
