event_id,market,fragment_side,calculation_resolution,source_granularity,source_origin,canonical_interval_start,canonical_interval_end,exact_pivot_time,exact_pivot_sequence_id,pivot_price,fragment_first_trade_time,fragment_last_trade_time,trade_count,base_volume,price_state_open,price_state_high,price_state_low,price_state_close,trade_price_path,signed_price_change,positive_price_step_count,negative_price_step_count,zero_price_step_count,sign_change_count,authoritative_fragment,volume_split_precision
E00010,spot,LEFT,5m,agg_trade,local_official_monthly_aggtrades,2017-09-02T02:15:00+00:00,2017-09-02T02:20:00+00:00,2017-09-02T02:17:51.603000+00:00,65441,4939.19,2017-09-02T02:15:28.763000+00:00,2017-09-02T02:17:51.603000+00:00,4,0.403766,4930.0,4939.19,4909.94,4939.19,49.31,9.19,1,1,1,1,true,exact_atomic_record
E00010,spot,RIGHT,5m,agg_trade,local_official_monthly_aggtrades,2017-09-02T02:15:00+00:00,2017-09-02T02:20:00+00:00,2017-09-02T02:17:51.603000+00:00,65441,4939.19,2017-09-02T02:18:24.613000+00:00,2017-09-02T02:18:24.613000+00:00,1,0.215763,4939.19,4939.19,4909.94,4909.94,29.25,-29.25,0,1,0,0,true,exact_atomic_record
E00012,spot,LEFT,5m,agg_trade,local_official_monthly_aggtrades,2017-09-05T02:00:00+00:00,2017-09-05T02:05:00+00:00,2017-09-05T02:00:07.506000+00:00,86731,3603.0,2017-09-05T02:00:00.600000+00:00,2017-09-05T02:00:07.506000+00:00,15,1.251347,3659.5,3699.0,3603.0,3603.0,293.5,-56.5,2,2,10,3,true,exact_atomic_record
E00012,spot,RIGHT,5m,agg_trade,local_official_monthly_aggtrades,2017-09-05T02:00:00+00:00,2017-09-05T02:05:00+00:00,2017-09-05T02:00:07.506000+00:00,86731,3603.0,2017-09-05T02:01:24.675000+00:00,2017-09-05T02:04:48.672000+00:00,33,2.838260,3603.0,3749.85,3603.0,3749.8,524.52,146.8,4,3,26,5,true,exact_atomic_record
E00013,spot,LEFT,5m,agg_trade,local_official_monthly_aggtrades,2017-09-07T16:25:00+00:00,2017-09-07T16:30:00+00:00,2017-09-07T16:26:07.914000+00:00,105101,4788.59,2017-09-07T16:25:27.480000+00:00,2017-09-07T16:26:07.914000+00:00,8,4.301036,4759.24,4788.59,4759.24,4788.59,29.35,29.35,6,0,1,0,true,exact_atomic_record
E00013,spot,RIGHT,5m,agg_trade,local_official_monthly_aggtrades,2017-09-07T16:25:00+00:00,2017-09-07T16:30:00+00:00,2017-09-07T16:26:07.914000+00:00,105101,4788.59,,,0,0,4788.59,4788.59,4788.59,4788.59,0,0.00,0,0,0,0,true,exact_atomic_record
E00059,spot,LEFT,5m,agg_trade,local_official_monthly_aggtrades,2017-12-07T23:55:00+00:00,2017-12-08T00:00:00+00:00,2017-12-07T23:58:50.452000+00:00,1334365,16649.96000000,2017-12-07T23:55:00.129000+00:00,2017-12-07T23:58:50.452000+00:00,129,14.86263300,16588.88000000,16649.96000000,16533.53000000,16649.96000000,1423.42000000,61.08000000,34,41,53,45,true,exact_atomic_record
E00059,spot,RIGHT,5m,agg_trade,local_official_monthly_aggtrades,2017-12-07T23:55:00+00:00,2017-12-08T00:00:00+00:00,2017-12-07T23:58:50.452000+00:00,1334365,16649.96000000,2017-12-07T23:58:50.583000+00:00,2017-12-07T23:59:56.820000+00:00,53,6.57278900,16649.96000000,16649.96000000,16599.00000000,16599.00000000,176.02000000,-50.96000000,10,12,31,12,true,exact_atomic_record
E00065,spot,LEFT,5m,agg_trade,local_official_monthly_aggtrades,2017-12-10T04:30:00+00:00,2017-12-10T04:35:00+00:00,2017-12-10T04:32:07.876000+00:00,1487622,12368.00000000,2017-12-10T04:30:00.353000+00:00,2017-12-10T04:32:07.876000+00:00,197,46.73262800,12536.00000000,12536.00000000,12368.00000000,12368.00000000,2052.60000000,-168.00000000,44,74,78,54,true,exact_atomic_record
E00065,spot,RIGHT,5m,agg_trade,local_official_monthly_aggtrades,2017-12-10T04:30:00+00:00,2017-12-10T04:35:00+00:00,2017-12-10T04:32:07.876000+00:00,1487622,12368.00000000,2017-12-10T04:32:08.121000+00:00,2017-12-10T04:34:58.177000+00:00,271,71.67053700,12368.00000000,12799.99000000,12368.00000000,12500.00000000,3326.32000000,132.00000000,83,70,118,81,true,exact_atomic_record
E00077,spot,LEFT,5m,agg_trade,local_official_monthly_aggtrades,2017-12-24T12:40:00+00:00,2017-12-24T12:45:00+00:00,2017-12-24T12:40:08.103000+00:00,2895244,11640.00000000,2017-12-24T12:40:00.189000+00:00,2017-12-24T12:40:08.103000+00:00,44,7.61445000,11650.09000000,11695.97000000,11640.00000000,11640.00000000,301.71000000,-10.09000000,15,15,13,15,true,exact_atomic_record
E00077,spot,RIGHT,5m,agg_trade,local_official_monthly_aggtrades,2017-12-24T12:40:00+00:00,2017-12-24T12:45:00+00:00,2017-12-24T12:40:08.103000+00:00,2895244,11640.00000000,2017-12-24T12:40:08.154000+00:00,2017-12-24T12:44:59.687000+00:00,1130,168.04402600,11640.00000000,11985.39000000,11640.00000000,11985.39000000,7013.25000000,345.39000000,343,282,505,304,true,exact_atomic_record
E00085,spot,LEFT,5m,agg_trade,local_official_monthly_aggtrades,2018-01-04T09:00:00+00:00,2018-01-04T09:05:00+00:00,2018-01-04T09:02:19.950000+00:00,4403774,13918.04000000,2018-01-04T09:00:00.402000+00:00,2018-01-04T09:02:19.950000+00:00,846,147.44581800,14221.05000000,14249.99000000,13918.04000000,13918.04000000,4262.37000000,-303.01000000,164,331,350,213,true,exact_atomic_record
E00085,spot,RIGHT,5m,agg_trade,local_official_monthly_aggtrades,2018-01-04T09:00:00+00:00,2018-01-04T09:05:00+00:00,2018-01-04T09:02:19.950000+00:00,4403774,13918.04000000,2018-01-04T09:02:20.211000+00:00,2018-01-04T09:04:59.901000+00:00,678,110.32306300,13918.04000000,14200.02000000,13918.04000000,14179.98000000,6671.16000000,261.94000000,232,185,261,238,true,exact_atomic_record
E00096,spot,LEFT,5m,agg_trade,local_official_monthly_aggtrades,2018-01-23T11:45:00+00:00,2018-01-23T11:50:00+00:00,2018-01-23T11:46:47.524000+00:00,8580189,9905.00000000,2018-01-23T11:45:00.059000+00:00,2018-01-23T11:46:47.524000+00:00,1450,277.82942800,10049.96000000,10050.00000000,9905.00000000,9905.00000000,3866.24000000,-144.96000000,348,548,553,412,true,exact_atomic_record
E00096,spot,RIGHT,5m,agg_trade,local_official_monthly_aggtrades,2018-01-23T11:45:00+00:00,2018-01-23T11:50:00+00:00,2018-01-23T11:46:47.524000+00:00,8580189,9905.00000000,2018-01-23T11:46:47.597000+00:00,2018-01-23T11:49:59.985000+00:00,1792,325.42040000,9905.00000000,10008.81000000,9905.00000000,10008.03000000,7272.61000000,103.03000000,707,615,470,557,true,exact_atomic_record
E00111,spot,LEFT,5m,agg_trade,local_official_monthly_aggtrades,2018-02-25T18:35:00+00:00,2018-02-25T18:40:00+00:00,2018-02-25T18:35:02.744000+00:00,19434742,9274.8,2018-02-25T18:35:00.082000+00:00,2018-02-25T18:35:02.744000+00:00,26,22.362232,9280.0,9288.89,9274.8,9274.8,42.98,-5.2,7,7,11,4,true,exact_atomic_record
E00111,spot,RIGHT,5m,agg_trade,local_official_monthly_aggtrades,2018-02-25T18:35:00+00:00,2018-02-25T18:40:00+00:00,2018-02-25T18:35:02.744000+00:00,19434742,9274.8,2018-02-25T18:35:03.239000+00:00,2018-02-25T18:39:56.364000+00:00,900,159.379328,9274.8,9370.0,9274.8,9358.0,1377.78,83.2,399,207,294,268,true,exact_atomic_record
E00140,spot,LEFT,5m,agg_trade,local_official_monthly_aggtrades,2018-07-25T00:25:00+00:00,2018-07-25T00:30:00+00:00,2018-07-25T00:25:25.044000+00:00,51999178,8491.77,2018-07-25T00:25:00.404000+00:00,2018-07-25T00:25:25.044000+00:00,243,53.746349,8485.74,8491.77,8482.0,8491.77,58.01,6.03,75,27,140,34,true,exact_atomic_record
E00140,spot,RIGHT,5m,agg_trade,local_official_monthly_aggtrades,2018-07-25T00:25:00+00:00,2018-07-25T00:30:00+00:00,2018-07-25T00:25:25.044000+00:00,51999178,8491.77,2018-07-25T00:25:25.142000+00:00,2018-07-25T00:29:58.929000+00:00,1338,272.269567,8491.77,8491.77,8454.17,8474.87,1339.90,-16.90,387,385,566,420,true,exact_atomic_record
E00177,spot,LEFT,5m,agg_trade,local_official_monthly_aggtrades,2019-05-14T08:00:00+00:00,2019-05-14T08:05:00+00:00,2019-05-14T08:00:26+00:00,110915711,8366.0,2019-05-14T08:00:00.064000+00:00,2019-05-14T08:00:26+00:00,1154,281.520997,8321.66,8366.0,8320.58,8366.0,604.42,44.34,457,222,474,273,true,exact_atomic_record
E00177,spot,RIGHT,5m,agg_trade,local_official_monthly_aggtrades,2019-05-14T08:00:00+00:00,2019-05-14T08:05:00+00:00,2019-05-14T08:00:26+00:00,110915711,8366.0,2019-05-14T08:00:26.083000+00:00,2019-05-14T08:04:59.848000+00:00,5680,996.562870,8366.0,8366.0,8172.97,8188.4,7010.76,-177.6,1809,2581,1290,2039,true,exact_atomic_record
E00232,futures,LEFT,5m,agg_trade,legacy_local_daily_aggtrades,2020-01-03T02:00:00+00:00,2020-01-03T02:05:00+00:00,2020-01-03T02:02:11.066000+00:00,18622389,6863.44,2020-01-03T02:00:00.204000+00:00,2020-01-03T02:02:11.066000+00:00,533,467.541,6884.72,6884.72,6863.44,6863.44,115.02,-21.28,151,346,35,144,true,exact_atomic_record
E00232,futures,RIGHT,5m,agg_trade,legacy_local_daily_aggtrades,2020-01-03T02:00:00+00:00,2020-01-03T02:05:00+00:00,2020-01-03T02:02:11.066000+00:00,18622389,6863.44,2020-01-03T02:02:11.167000+00:00,2020-01-03T02:04:59.348000+00:00,1670,1082.356,6863.44,6900.63,6863.44,6899.70,546.70,36.26,889,684,97,531,true,exact_atomic_record
E00254,futures,LEFT,5m,agg_trade,legacy_local_daily_aggtrades,2020-05-11T18:15:00+00:00,2020-05-11T18:20:00+00:00,2020-05-11T18:18:05.592000+00:00,85819809,8151.12,2020-05-11T18:15:00.002000+00:00,2020-05-11T18:18:05.592000+00:00,16704,11263.291,8398.74,8400.00,8151.12,8151.12,18636.82,-247.62,7360,9259,84,6301,true,exact_atomic_record
E00254,futures,RIGHT,5m,agg_trade,legacy_local_daily_aggtrades,2020-05-11T18:15:00+00:00,2020-05-11T18:20:00+00:00,2020-05-11T18:18:05.592000+00:00,85819809,8151.12,2020-05-11T18:18:05.625000+00:00,2020-05-11T18:19:59.984000+00:00,10995,6828.300,8151.12,8302.18,8151.12,8300.93,13259.61,149.81,5831,5098,66,4388,true,exact_atomic_record
E00255,futures,LEFT,5m,agg_trade,legacy_local_daily_aggtrades,2020-08-17T16:00:00+00:00,2020-08-17T16:05:00+00:00,2020-08-17T16:01:35.464000+00:00,130971747,12499.42,2020-08-17T16:00:00.549000+00:00,2020-08-17T16:01:35.464000+00:00,4606,2569.279,12443.99,12499.42,12443.96,12499.42,1962.13,55.43,2708,1810,87,1520,true,exact_atomic_record
E00255,futures,RIGHT,5m,agg_trade,legacy_local_daily_aggtrades,2020-08-17T16:00:00+00:00,2020-08-17T16:05:00+00:00,2020-08-17T16:01:35.464000+00:00,130971747,12499.42,2020-08-17T16:01:35.464000+00:00,2020-08-17T16:04:59.966000+00:00,9062,5080.282,12499.42,12499.42,12398.74,12404.00,3647.16,-95.42,4004,4864,194,3162,true,exact_atomic_record
E00262,futures,LEFT,5m,agg_trade,legacy_local_daily_aggtrades,2020-11-27T15:55:00+00:00,2020-11-27T16:00:00+00:00,2020-11-27T15:59:35.280000+00:00,189146906,16444.83,2020-11-27T15:55:00.203000+00:00,2020-11-27T15:59:35.280000+00:00,6272,2938.689,16555.01,16585.90,16444.83,16444.83,3626.44,-110.18,2441,3551,279,1711,true,exact_atomic_record
E00262,futures,RIGHT,5m,agg_trade,legacy_local_daily_aggtrades,2020-11-27T15:55:00+00:00,2020-11-27T16:00:00+00:00,2020-11-27T15:59:35.280000+00:00,189146906,16444.83,2020-11-27T15:59:35.289000+00:00,2020-11-27T15:59:59.987000+00:00,1610,576.635,16444.83,16522.68,16444.83,16514.70,1124.79,69.87,933,653,24,538,true,exact_atomic_record
E00286,futures,LEFT,5m,agg_trade,legacy_local_daily_aggtrades,2021-01-14T15:35:00+00:00,2021-01-14T15:40:00+00:00,2021-01-14T15:35:05.078000+00:00,259557522,40189.39,2021-01-14T15:35:00.003000+00:00,2021-01-14T15:35:05.078000+00:00,1767,341.860,40071.25,40189.39,40070.98,40189.39,2884.20,118.14,1111,654,1,439,true,exact_atomic_record
E00286,futures,RIGHT,5m,agg_trade,legacy_local_daily_aggtrades,2021-01-14T15:35:00+00:00,2021-01-14T15:40:00+00:00,2021-01-14T15:35:05.078000+00:00,259557522,40189.39,2021-01-14T15:35:05.080000+00:00,2021-01-14T15:39:59.935000+00:00,25603,4423.263,40189.39,40189.39,39691.00,39781.31,36655.12,-408.08,11397,13993,213,8117,true,exact_atomic_record
E00314,futures,LEFT,5m,agg_trade,legacy_local_daily_aggtrades,2021-02-28T16:00:00+00:00,2021-02-28T16:05:00+00:00,2021-02-28T16:02:15.559000+00:00,349290653,43002.05,2021-02-28T16:00:00.021000+00:00,2021-02-28T16:02:15.559000+00:00,13989,2387.269,43424.79,43444.90,43002.05,43002.05,31817.34,-422.74,5973,7941,74,4068,true,exact_atomic_record
E00314,futures,RIGHT,5m,agg_trade,legacy_local_daily_aggtrades,2021-02-28T16:00:00+00:00,2021-02-28T16:05:00+00:00,2021-02-28T16:02:15.559000+00:00,349290653,43002.05,2021-02-28T16:02:15.570000+00:00,2021-02-28T16:04:59.980000+00:00,23333,4105.839,43002.05,43915.53,43002.05,43910.19,58090.24,908.14,13378,9912,43,7191,true,exact_atomic_record
