event_id,anchor_price,anchor_price_units,extreme_type,source_market,source_time_precision,source_refinement_market,source_refinement_timeframe,localization_status,candidate_window_count,matching_5m_start_times,trade_refinement_status,first_trade_touch_time,last_trade_touch_time,trade_touch_count,exact_pivot_time,exact_pivot_sequence_id,exact_source_granularity,exact_source_origin,canonical_pivot_5m_start_time,canonical_pivot_5m_end_time,volume_split_precision
E00008,4013.89,401389,LOW,spot,1D,spot,1D,unique_5m_match,1,2017-08-23T00:10:00+00:00,source_unavailable,2017-08-23T00:11:41.065000+00:00,2017-08-23T00:11:41.065000+00:00,1,,,,,,,
E00010,4939.19,493919,HIGH,spot,1D,spot,1D,unique_5m_match,1,2017-09-02T02:15:00+00:00,exact_unique_trade_touch,2017-09-02T02:17:51.603000+00:00,2017-09-02T02:17:51.603000+00:00,1,2017-09-02T02:17:51.603000+00:00,65441,agg_trade,local_official_monthly_aggtrades,2017-09-02T02:15:00+00:00,2017-09-02T02:20:00+00:00,exact_atomic_record
E00012,3603.0,360300,LOW,spot,1D,spot,1D,unique_5m_match,1,2017-09-05T02:00:00+00:00,exact_unique_trade_touch,2017-09-05T02:00:07.506000+00:00,2017-09-05T02:00:07.506000+00:00,1,2017-09-05T02:00:07.506000+00:00,86731,agg_trade,local_official_monthly_aggtrades,2017-09-05T02:00:00+00:00,2017-09-05T02:05:00+00:00,exact_atomic_record
E00013,4788.59,478859,HIGH,spot,1D,spot,1D,multiple_5m_matches,2,2017-09-07T16:25:00+00:00;2017-09-07T16:30:00+00:00,exact_unique_trade_touch,2017-09-07T16:26:07.914000+00:00,2017-09-07T16:26:07.914000+00:00,1,2017-09-07T16:26:07.914000+00:00,105101,agg_trade,local_official_monthly_aggtrades,2017-09-07T16:25:00+00:00,2017-09-07T16:30:00+00:00,exact_atomic_record
E00018,3165.13,316513,LOW,spot,1D,spot,1D,unique_5m_match,1,2017-09-14T23:50:00+00:00,multiple_exact_trade_touches,2017-09-14T23:52:25.178000+00:00,2017-09-14T23:52:25.230000+00:00,2,,,,,,,
E00038,7770.02,777002,HIGH,spot,1D,spot,1D,unique_5m_match,1,2017-11-08T17:30:00+00:00,source_unavailable,2017-11-08T17:32:12.034000+00:00,2017-11-08T17:32:12.034000+00:00,1,,,,,,,
E00041,5325.01,532501,LOW,spot,1D,spot,1D,unique_5m_match,1,2017-11-12T06:50:00+00:00,source_unavailable,2017-11-12T06:53:34.543000+00:00,2017-11-12T06:53:35.875000+00:00,2,,,,,,,
E00052,11300.03,1130003,HIGH,spot,1D,spot,1D,unique_5m_match,1,2017-11-29T14:10:00+00:00,source_unavailable,2017-11-29T14:13:57.414000+00:00,2017-11-29T14:13:57.417000+00:00,2,,,,,,,
E00054,8850.8,885080,LOW,spot,1D,spot,1D,unique_5m_match,1,2017-11-30T14:05:00+00:00,source_unavailable,2017-11-30T14:08:45.532000+00:00,2017-11-30T14:09:17.587000+00:00,2,,,,,,,
E00059,16649.96,1664996,HIGH,spot,1D,spot,1D,unique_5m_match,1,2017-12-07T23:55:20.799000+00:00,exact_unique_trade_touch,2017-12-07T23:58:50.452000+00:00,2017-12-07T23:58:50.452000+00:00,1,2017-12-07T23:58:50.452000+00:00,1334365,agg_trade,local_official_monthly_aggtrades,2017-12-07T23:55:00+00:00,2017-12-08T00:00:00+00:00,exact_atomic_record
E00065,12368.0,1236800,LOW,spot,1D,spot,1D,unique_5m_match,1,2017-12-10T04:30:20.799000+00:00,exact_unique_trade_touch,2017-12-10T04:32:07.876000+00:00,2017-12-10T04:32:07.876000+00:00,1,2017-12-10T04:32:07.876000+00:00,1487622,agg_trade,local_official_monthly_aggtrades,2017-12-10T04:30:00+00:00,2017-12-10T04:35:00+00:00,exact_atomic_record
E00070,19798.68,1979868,HIGH,spot,1D,spot,1D,unique_5m_match,1,2017-12-17T12:10:20.799000+00:00,multiple_exact_trade_touches,2017-12-17T12:14:29.261000+00:00,2017-12-17T12:14:43.132000+00:00,5,,,,,,,
