event_id,touch_source_role,touch_source_type,touch_source_granularity,market,trade_date,candidate_window_start,candidate_window_end,candidate_window_kind,event_time,native_sequence_id,price,price_units,quantity,first_trade_id,last_trade_id,underlying_trade_count,source_origin,source_archive_path,source_sha256
E00210,primary_fallback,trades,raw_trade,futures,2019-10-23,2019-10-23T16:00:00+00:00,2019-10-23T16:05:00+00:00,canonical_5m,2019-10-23T16:02:26.497000+00:00,3271921,7172.76,717276,36.301,3271921,3271921,1,raw_fallback_missing_local_aggtrades,/Users/yeshevika/Documents/Codex/2026-08-16/files-pasted-by-the-user-read/work/candle and tick data/futures/ticks/official_daily_raw_trades_zip/2019/10.2019/BTCUSDT-trades-2019-10-23.zip,b28d77faa956f4d11228c97be85e3e75506106207cd2653148533c6a6ee0c69b
E00210,primary_fallback,trades,raw_trade,futures,2019-10-23,2019-10-23T16:00:00+00:00,2019-10-23T16:05:00+00:00,canonical_5m,2019-10-23T16:02:26.497000+00:00,3271922,7172.76,717276,3.0,3271922,3271922,1,raw_fallback_missing_local_aggtrades,/Users/yeshevika/Documents/Codex/2026-08-16/files-pasted-by-the-user-read/work/candle and tick data/futures/ticks/official_daily_raw_trades_zip/2019/10.2019/BTCUSDT-trades-2019-10-23.zip,b28d77faa956f4d11228c97be85e3e75506106207cd2653148533c6a6ee0c69b
E00210,primary_fallback,trades,raw_trade,futures,2019-10-23,2019-10-23T16:00:00+00:00,2019-10-23T16:05:00+00:00,canonical_5m,2019-10-23T16:02:26.497000+00:00,3271923,7172.76,717276,3.0,3271923,3271923,1,raw_fallback_missing_local_aggtrades,/Users/yeshevika/Documents/Codex/2026-08-16/files-pasted-by-the-user-read/work/candle and tick data/futures/ticks/official_daily_raw_trades_zip/2019/10.2019/BTCUSDT-trades-2019-10-23.zip,b28d77faa956f4d11228c97be85e3e75506106207cd2653148533c6a6ee0c69b
E00210,primary_fallback,trades,raw_trade,futures,2019-10-23,2019-10-23T16:00:00+00:00,2019-10-23T16:05:00+00:00,canonical_5m,2019-10-23T16:02:26.497000+00:00,3271924,7172.76,717276,0.5,3271924,3271924,1,raw_fallback_missing_local_aggtrades,/Users/yeshevika/Documents/Codex/2026-08-16/files-pasted-by-the-user-read/work/candle and tick data/futures/ticks/official_daily_raw_trades_zip/2019/10.2019/BTCUSDT-trades-2019-10-23.zip,b28d77faa956f4d11228c97be85e3e75506106207cd2653148533c6a6ee0c69b
E00211,primary_fallback,trades,raw_trade,futures,2019-10-26,2019-10-26T01:40:00+00:00,2019-10-26T01:45:00+00:00,canonical_5m,2019-10-26T01:44:42.128000+00:00,3868470,10408.48,1040848,0.621,3868470,3868470,1,raw_fallback_missing_local_aggtrades,/Users/yeshevika/Documents/Codex/2026-08-16/files-pasted-by-the-user-read/work/candle and tick data/futures/ticks/official_daily_raw_trades_zip/2019/10.2019/BTCUSDT-trades-2019-10-26.zip,bd97db9aac995d30f50808c67163c22b7b609ceb7188f9edb6148a27eb1d6fdf
E00211,primary_fallback,trades,raw_trade,futures,2019-10-26,2019-10-26T01:40:00+00:00,2019-10-26T01:45:00+00:00,canonical_5m,2019-10-26T01:44:42.181000+00:00,3868475,10408.48,1040848,0.998,3868475,3868475,1,raw_fallback_missing_local_aggtrades,/Users/yeshevika/Documents/Codex/2026-08-16/files-pasted-by-the-user-read/work/candle and tick data/futures/ticks/official_daily_raw_trades_zip/2019/10.2019/BTCUSDT-trades-2019-10-26.zip,bd97db9aac995d30f50808c67163c22b7b609ceb7188f9edb6148a27eb1d6fdf
E00227,primary_fallback,trades,raw_trade,futures,2019-11-25,2019-11-25T05:35:00+00:00,2019-11-25T05:40:00+00:00,canonical_5m,2019-11-25T05:35:53.444000+00:00,13065430,6510.19,651019,3.038,13065430,13065430,1,raw_fallback_missing_local_aggtrades,/Users/yeshevika/Documents/Codex/2026-08-16/files-pasted-by-the-user-read/work/candle and tick data/futures/ticks/official_daily_raw_trades_zip/2019/11.2019/BTCUSDT-trades-2019-11-25.zip,e760bb60ca87eab9917c71cf52d9e5bdfa3b89797a10bda20f6999795c0e12a8
E00228,primary_fallback,trades,raw_trade,futures,2019-11-29,2019-11-29T16:00:00+00:00,2019-11-29T16:05:00+00:00,canonical_5m,2019-11-29T16:01:16.887000+00:00,15868378,7850.0,785000,0.001,15868378,15868378,1,raw_fallback_missing_local_aggtrades,/Users/yeshevika/Documents/Codex/2026-08-16/files-pasted-by-the-user-read/work/candle and tick data/futures/ticks/official_daily_raw_trades_zip/2019/11.2019/BTCUSDT-trades-2019-11-29.zip,2c958d1775b0b6b59b2f9b7bdbbf1360cecf1026d8d6759a506932ed90610d05
E00228,primary_fallback,trades,raw_trade,futures,2019-11-29,2019-11-29T16:00:00+00:00,2019-11-29T16:05:00+00:00,canonical_5m,2019-11-29T16:01:16.887000+00:00,15868379,7850.0,785000,0.015,15868379,15868379,1,raw_fallback_missing_local_aggtrades,/Users/yeshevika/Documents/Codex/2026-08-16/files-pasted-by-the-user-read/work/candle and tick data/futures/ticks/official_daily_raw_trades_zip/2019/11.2019/BTCUSDT-trades-2019-11-29.zip,2c958d1775b0b6b59b2f9b7bdbbf1360cecf1026d8d6759a506932ed90610d05
E00228,primary_fallback,trades,raw_trade,futures,2019-11-29,2019-11-29T16:00:00+00:00,2019-11-29T16:05:00+00:00,canonical_5m,2019-11-29T16:01:16.887000+00:00,15868380,7850.0,785000,0.01,15868380,15868380,1,raw_fallback_missing_local_aggtrades,/Users/yeshevika/Documents/Codex/2026-08-16/files-pasted-by-the-user-read/work/candle and tick data/futures/ticks/official_daily_raw_trades_zip/2019/11.2019/BTCUSDT-trades-2019-11-29.zip,2c958d1775b0b6b59b2f9b7bdbbf1360cecf1026d8d6759a506932ed90610d05
