market,trade_date,source_type,source_granularity,source_origin,status,archive_path,sha256
futures,2019-10-23,trades,raw_trade,raw_fallback_missing_local_aggtrades,fallback,/Users/yeshevika/Documents/Codex/2026-08-16/files-pasted-by-the-user-read/work/candle and tick data/futures/ticks/official_daily_raw_trades_zip/2019/10.2019/BTCUSDT-trades-2019-10-23.zip,b28d77faa956f4d11228c97be85e3e75506106207cd2653148533c6a6ee0c69b
futures,2019-10-26,trades,raw_trade,raw_fallback_missing_local_aggtrades,fallback,/Users/yeshevika/Documents/Codex/2026-08-16/files-pasted-by-the-user-read/work/candle and tick data/futures/ticks/official_daily_raw_trades_zip/2019/10.2019/BTCUSDT-trades-2019-10-26.zip,bd97db9aac995d30f50808c67163c22b7b609ceb7188f9edb6148a27eb1d6fdf
futures,2019-11-25,trades,raw_trade,raw_fallback_missing_local_aggtrades,fallback,/Users/yeshevika/Documents/Codex/2026-08-16/files-pasted-by-the-user-read/work/candle and tick data/futures/ticks/official_daily_raw_trades_zip/2019/11.2019/BTCUSDT-trades-2019-11-25.zip,e760bb60ca87eab9917c71cf52d9e5bdfa3b89797a10bda20f6999795c0e12a8
futures,2019-11-29,trades,raw_trade,raw_fallback_missing_local_aggtrades,fallback,/Users/yeshevika/Documents/Codex/2026-08-16/files-pasted-by-the-user-read/work/candle and tick data/futures/ticks/official_daily_raw_trades_zip/2019/11.2019/BTCUSDT-trades-2019-11-29.zip,2c958d1775b0b6b59b2f9b7bdbbf1360cecf1026d8d6759a506932ed90610d05
futures,2020-01-03,aggTrades,agg_trade,legacy_local_daily_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-05-30/sfp-vah-val-poc-cvd-one/tick data/2020/01.2020/BTCUSDT-aggTrades-2020-01-03.zip,cc460dea3e91365b90f0bd295660d7a780c47ee68cf504045dbc3394316ee71f
futures,2020-02-13,aggTrades,agg_trade,legacy_local_daily_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-05-30/sfp-vah-val-poc-cvd-one/tick data/2020/02.2020/BTCUSDT-aggTrades-2020-02-13.zip,92fffdb34b0e1cff726aec2780417cb7ebd97c6ecdeaaef8bc23f8e90a15510c
futures,2020-03-12,aggTrades,agg_trade,legacy_local_daily_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-05-30/sfp-vah-val-poc-cvd-one/tick data/2020/03.2020/BTCUSDT-aggTrades-2020-03-12.zip,4b77e99007793cb14990091d2bf8b177ab7afb6317bf57583543a0958db1c415
futures,2020-03-19,aggTrades,agg_trade,legacy_local_daily_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-05-30/sfp-vah-val-poc-cvd-one/tick data/2020/03.2020/BTCUSDT-aggTrades-2020-03-19.zip,f2c8e8c2276a05ad204ee9da10cb56abd207df827b357532f7c2758269666da5
futures,2020-03-20,aggTrades,agg_trade,legacy_local_daily_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-05-30/sfp-vah-val-poc-cvd-one/tick data/2020/03.2020/BTCUSDT-aggTrades-2020-03-20.zip,ff6307034d242d1883d10b6f22667c4b8150cbd014beb57c527f61f2df738b9a
futures,2020-05-07,aggTrades,agg_trade,legacy_local_daily_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-05-30/sfp-vah-val-poc-cvd-one/tick data/2020/05.2020/BTCUSDT-aggTrades-2020-05-07.zip,22f6b01f42aa79abe55e7d03199ba809c7a4bded7a722b201276c1f3eef154d2
